State,County,Life_Expectancy,Age-Adjusted_Mortality,Child_Mortality_Rate,Infant_Mortality_Rate,%_Frequent_Physical_Distress,%_Frequent_Mental_Distress,%_Diabetic,%_Food_Insecure,%_Limited_Access_Healthy_Food,Drug_Overdose_Mortality_Rate,MV_Mortality_Rate,%_Insufficient_Sleep,%_Uninsured_adults,%_Uninsured_children,Other_PCP_Rate,%_Disconnected_Youth,Household_Median_Income,Homicide_Rate,Firearm_Fatalities_Rate,%_Homeowners,%_Severe_Housing_Cost_Burden,Population,%_<_18,%_65_and_over,%_Not_Proficient_in_English,%_Female,%_Rural
Alabama,Autauga,76.330589011,438.7,53.279441484,7.6992753623,12.824434466,12.638357067,14.2,13.4,11.991125,9.6230761366,20.37715798,35.905406064,10.961103842,2.4761904762,30.62842,8.0116533139,58343.0,5.2,17.7,73.287736297,12.645205749,55504,23.937013549,15.119631018,0.8285483063,51.342245604,42.002162321
Alabama,Baldwin,78.599497656,348.4,47.000016588,5.8513374486,12.62200157,12.822558193,11.3,12.3,5.424426597,16.322611618,15.092363836,33.305868141,13.570310753,3.2380267084,52.20385,7.8257402054,56607.0,2.9,14.4,72.859338263,12.795922013,212628,21.848486559,19.947043663,0.4545122854,51.452771977,42.279099114
Alabama,Barbour,75.77945737,469.8,77.080027205,8.444679893082666,16.216159614,14.632310588,18.0,23.2,10.739666573,17.038235227579907,20.966952857,38.563167125,16.542239686,2.9014236799,23.743570000000002,12.044817927,32490.0,7.0,15.2,62.506800131,13.586765224,25270,20.763751484,18.824693312,1.1992731678,47.229916898,67.789634702
Alabama,Bibb,73.928271076,563.7,111.74968072,14.792899408,13.162968279,12.854036063,14.9,15.8,2.6016270077,22.093263028,25.272468804,38.1488654,12.297318992,2.6194467728,92.64161,8.350803575574002,45795.0,8.2,21.3,75.361480625,8.7338893101,22668,20.606140815,16.022586907,0.3943476832,46.453149815,68.352607462
Alabama,Blount,74.597766875,501.8,76.032935242,6.1846875666,13.72005681,13.827942697,14.3,11.0,2.8801498232,24.799584751,25.711771047,35.945010419,15.564604172,3.4301361966,18.96127,15.105459057,48253.0,7.4,19.7,78.52102465,8.1944952212,58013,23.349938807,17.842552531,1.8700042458,50.688638753,89.951502041
Alabama,Bullock,73.117530117,568.2,135.47076089,8.444679893082666,16.632479346,14.840054706,20.0,26.0,19.743350741,17.038235227579907,46.079202017,45.020635869,17.671809257,2.7890238417,77.60210000000001,8.350803575574002,29113.0,9.633085801827432,19.0,70.027247956,19.39481268,10309,20.710059172,15.82112717,1.104692409,45.533029392,51.374381528
Alabama,Butler,73.505385022,577.1,122.77143162,8.444679893082666,16.197928227,15.474205061,17.9,21.7,2.9261219306,17.038235227579907,26.856072653,41.911083901,13.982828106,2.4958402662,65.57377,13.086913087,36842.0,17.0,23.9,70.070921986,11.263060848,19825,22.733921816,19.556116015,0.7127019322,53.432534678,71.23215735
Alabama,Calhoun,73.102947697,572.2,77.013457608,7.8317777063,13.020952582,13.8065685,16.2,16.7,9.178566583,19.132708525,18.210812301,41.314343982,14.431316351,2.3045235504,50.55435,7.4612403101,45937.0,10.3,24.2,69.391782523,11.579094989,114728,21.78979848,17.312251586,0.880968331,51.930653371,33.696825557
Alabama,Chambers,74.122277638,536.3,86.706204696,8.064516129,15.428207726,14.560002356,17.0,19.5,10.328558281,17.038235227579907,23.957632818,37.266574787,13.522138014,2.485320224,14.831069999999999,12.663454921,36883.0,9.7,23.5,66.474368336,12.828354113,33713,21.137246759,19.078693679,0.1538944724,52.125292914,49.148034488
Alabama,Cherokee,74.346572288,536.9,72.18208158963827,8.444679893082666,13.00955694,13.64344403,13.5,12.5,0.2211124003,14.20436203,33.560924081,35.35507081,14.939208706,2.9816946594,69.61364,8.350803575574002,44842.0,8.3,24.7,78.138026864,10.392541708,25857,19.712263604,22.61669954,0.0972250354,50.319062536,85.736273039
